Country,Overall,Research,Management,Enforcement,Socioeconomics,Abundance
Argentina,0.7,0.82,0.65,0.63,0.71,0.64
Bangladesh,0.39,0.35,0.3,0.38,0.51,0.20
Brazil,0.33,0.41,0.26,0.29,0.37,0.2
Canada,0.81,0.86,0.74,0.78,0.86,0.61
Chile,0.66,0.76,0.54,0.54,0.81,0.57
China,0.37,0.48,0.33,0.34,0.32,0.17
France,0.71,0.85,0.71,0.69,0.62,0.64
Iceland,0.9,0.94,0.88,0.91,0.88,0.81
India,0.46,0.83,0.24,0.37,0.41,0.64
Indonesia,0.43,0.56,0.45,0.34,0.36,0.28
Japan,0.61,0.83,0.55,0.43,0.64,0.74
Malaysia,0.48,0.6,0.42,0.52,0.41,0.42
Mexico,0.58,0.76,0.58,0.42,0.56,0.43
Morocco,0.55,0.74,0.45,0.43,0.59,0.34
Myanmar,0.21,0.22,0.12,0.11,0.39,0.09
New Zealand,0.83,0.84,0.75,0.74,0.99,0.75
Nigeria,0.47,0.54,0.37,0.43,0.65,0.19
Norway,0.88,0.93,0.84,0.85,0.9,0.84
Peru,0.63,0.75,0.66,0.57,0.53,0.60
Philippines,0.42,0.53,0.26,0.4,0.47,0.14
Russia,0.83,0.92,0.82,0.81,0.79,0.83
South Africa,0.81,0.85,0.78,0.69,0.93,0.67
South Korea,0.67,0.83,0.64,0.55,0.66,0.52
Spain,0.68,0.85,0.63,0.53,0.72,0.65
Thailand,0.26,0.45,0.07,0.15,0.33,0.04
U.K.,0.75,0.86,0.68,0.65,0.8,0.65
United States,0.92,0.95,0.95,0.87,0.9,0.88
Vietnam,0.5,0.57,0.49,0.48,0.46,0.39
